
  Page anchor parity — 320 page renders (20 universes × 8 pages × 2 viewports) — commit 45569d9a, the fix, rendered from page-anchor-parity.json

  ✅ PASS  1440  havana     celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  havana     rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  havana     registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  havana     music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  havana     stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  havana     transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  edinburgh  home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  edinburgh  our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  edinburgh  celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  edinburgh  rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  edinburgh  registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  edinburgh  music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  edinburgh  stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  edinburgh  transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  monaco     home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  monaco     our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  monaco     celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  monaco     rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  monaco     registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  monaco     music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  monaco     stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  monaco     transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  florence   home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  florence   our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  florence   celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  florence   rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  florence   registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  florence   music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  florence   stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  florence   transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  seoul      home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  seoul      our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  seoul      celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  seoul      rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
